knn_feature,knn_importance,lr_feature,lr_coefficient,lr_p_value,lr_t_value,lr_std_err,tree_feature,tree_importance,nn_feature,nn_importance
1stFlrSF,2.98612656254827,GrLivArea,48.78478720345717,3.11800042638094e-11,6.783131406406295,7.192074615771503,OverallQual,0.6062378807641999,GarageArea,0.07436759838447918
YearRemodAdd,2.537608513710125,OverallQual,10568.565230238659,3.7332980788983916e-11,6.754841321379512,1564.5911913265027,GrLivArea,0.09542946200347753,2ndFlrSF,0.05846023905484171
GarageArea,2.133597328326174,LotArea,0.5708312530712287,1.744779405930006e-08,5.72282821851104,0.0997463546476583,TotRmsAbvGrd,0.05309823376229882,GrLivArea,0.04349997568349554
FireplaceQu,2.070233063495456,BedroomAbvGr,-11971.872723561097,9.881584607944838e-08,-5.402829204036156,2215.852523085048,1stFlrSF,0.04892858501716345,BsmtFinSF1,0.022934131457584873
TotRmsAbvGrd,2.066916713606482,MSSubClass,-164.80579470841815,1.5338492586029374e-07,-5.319142853982043,30.983524833336713,TotalBsmtSF,0.03650263626498132,BsmtUnfSF,0.011015264478874732
MSSubClass,2.0646893831642514,OverallCond,5687.623306851488,0.0001024645623153882,3.9140308168242814,1453.1370786360449,BsmtFinSF1,0.02189767450543716,WoodDeckSF,0.004661312877078649
BsmtFinSF2,1.978585095738806,ExterQual,12112.508622454287,0.00012447635641288127,3.8654639835546156,3133.5199794866094,GarageArea,0.02056829786366364,TotalBsmtSF,0.0030610083668421106
KitchenQual,1.9714006918958638,BsmtFinSF1,12.46109883980423,0.00025000133961002144,3.6870255493734856,3.3797158910172644,BsmtQual,0.01738253223728137,MiscVal,0.002705836354252078
Fireplaces,1.9435523734578606,KitchenQual,9677.676023037906,0.0004065524938136777,3.558186814630144,2719.833591436613,LotArea,0.009866997451696741,MSSubClass,0.0024666762784588347
GrLivArea,1.7195764532683222,TotRmsAbvGrd,4588.949091794984,0.0022867557994959683,3.0649415408310223,1497.2387011827786,YearBuilt,0.009190772814800812,EnclosedPorch,0.0021140828776552547
OverallQual,1.5789037145263571,BsmtQual,8252.762557727663,0.0025395584543445966,3.0328864130661257,2721.091868845973,MoSold,0.008174653592924422,MasVnrArea,0.0015961847585529432
